show_id,type,title,director,cast,country,date_added,release_year,rating,duration,listed_in,description
81145628,Movie,Norm of the North: King Sized Adventure,"Richard Finn, Tim Maltby","Alan Marriott, Andrew Toth, Brian Dobson, Cole Howard, Jennifer Cameron, Jonathan Holmes, Lee Tockar, Lisa Durupt, Maya Kay, Michael Dobson","United States, India, South Korea, China",9-Sep-19,2019,TV-PG,90 min,"Children & Family Movies, Comedies","Before planning an awesome wedding for his grandfather, a polar bear king must take back a stolen artifact from an evil archaeologist first."
80125979,Movie,#realityhigh,Fernando Lebrija,"Nesta Cooper, Kate Walsh, John Michael Higgins, Keith Powers, Alicia Sanz, Jake Borelli, Kid Ink, Yousef Erakat, Rebekah Graf, Anne Winters, Peter Gilroy, Patrick Davis",United States,8-Sep-17,2017,TV-14,99 min,Comedies,"When nerdy high schooler Dani finally attracts the interest of her longtime crush, she lands in the cross hairs of his ex, a social media celebrity."
70304989,Movie,Automata,Gabe Ibáñez,"Antonio Banderas, Dylan McDermott, Melanie Griffith, Birgitte Hjort Sørensen, Robert Forster, Christa Campbell, Tim McInnerny, Andy Nyman, David Ryall","Bulgaria, United States, Spain, Canada",8-Sep-17,2014,R,110 min,"International Movies, Sci-Fi & Fantasy, Thrillers","In a dystopian future, an insurance adjuster for a tech company investigates a robot killed for violating protocol and discovers a global conspiracy."
70304990,Movie,Good People,Henrik Ruben Genz,"James Franco, Kate Hudson, Tom Wilkinson, Omar Sy, Sam Spruell, Anna Friel, Thomas Arnold, Oliver Dimsdale, Diana Hardcastle, Michael Jibson, Diarmaid Murtagh","United States, United Kingdom, Denmark, Sweden",8-Sep-17,2014,R,90 min,"Action & Adventure, Thrillers",A struggling couple can't believe their luck when they find a stash of money in the apartment of a neighbor who was recently murdered.
70299204,Movie,Kidnapping Mr. Heineken,Daniel Alfredson,"Jim Sturgess, Sam Worthington, Ryan Kwanten, Anthony Hopkins, Mark van Eeuwen, Thomas Cocquerel, Jemima West, David Dencik","Netherlands, Belgium, United Kingdom, United States",8-Sep-17,2015,R,95 min,"Action & Adventure, Dramas, International Movies","When beer magnate Alfred ""Freddy"" Heineken is kidnapped in 1983, his abductors make the largest ransom demand in history."
80060297,Movie,Manhattan Romance,Tom O'Brien,"Tom O'Brien, Katherine Waterston, Caitlin Fitzgerald, Gaby Hoffmann, Louis Cancelmi, Zach Grenier",United States,8-Sep-17,2014,TV-14,98 min,"Comedies, Independent Movies, Romantic Movies",A filmmaker working on a documentary about love in modern Manhattan becomes personally entangled in the romantic lives of his subjects.
80046727,Movie,Rolling Papers,Mitch Dickman,,"United States, Uruguay",8-Sep-17,2015,TV-MA,79 min,Documentaries,"As the newspaper industry takes a hit, The Denver Post breaks new ground with a section dedicated to cannabis culture."
70304988,Movie,Stonehearst Asylum,Brad Anderson,"Kate Beckinsale, Jim Sturgess, David Thewlis, Brendan Gleeson, Ben Kingsley, Michael Caine, Jason Flemyng, Sophie Kennedy Clark, Sinéad Cusack, Edmund Kingsley",United States,8-Sep-17,2014,PG-13,113 min,"Horror Movies, Thrillers","In 1899, a young doctor arrives at an asylum for an apprenticeship and becomes suspicious of his mentor's methods while falling for a female patient."
80057700,Movie,The Runner,Austin Stark,"Nicolas Cage, Sarah Paulson, Connie Nielsen, Wendell Pierce, Bryan Batt, Peter Fonda, Dana Gourrier",United States,8-Sep-17,2015,R,90 min,"Dramas, Independent Movies",A New Orleans politician finds his idealistic plans for rebuilding after a toxic oil spill unraveling thanks to a sex scandal.
80045922,Movie,6 Years,Hannah Fidell,"Taissa Farmiga, Ben Rosenfield, Lindsay Burdge, Joshua Leonard, Jennifer Lafleur, Peter Vack, Dana Wheeler-Nicholson, Jason Newman, Molly McMichael",United States,8-Sep-15,2015,NR,80 min,"Dramas, Independent Movies, Romantic Movies","As a volatile young couple who have been together for six years approach college graduation, unexpected career opportunities threaten their future."
80203094,Movie,City of Joy,Madeleine Gavin,,"United States,",7-Sep-18,2018,TV-MA,77 min,Documentaries,"Women who've been sexually brutalized in war-torn Congo begin to heal at City of Joy, a center that helps them regain a sense of self and empowerment."
80988892,Movie,Next Gen,"Kevin R. Adams, Joe Ksander","John Krasinski, Charlyne Yi, Jason Sudeikis, Michael Peña, David Cross, Constance Wu","China, Canada, United States",7-Sep-18,2018,TV-PG,106 min,"Children & Family Movies, Comedies, Sci-Fi & Fantasy","When lonely Mai forms an unlikely bond with a top-secret robot, they embark on an intense, action-packed adventure to foil the plot of a vicious villain."
80239639,Movie,Sierra Burgess Is A Loser,Ian Samuels,"Shannon Purser, Kristine Froseth, RJ Cyler, Noah Centineo, Loretta Devine, Giorgia Whigham, Alice Lee, Lea Thompson, Alan Ruck, Mary Pat Gleason, Chrissy Metz",United States,7-Sep-18,2018,PG-13,106 min,"Comedies, Romantic Movies",A wrong-number text sparks a virtual romance between a smart but unpopular teen and a sweet jock who thinks he's talking to a gorgeous cheerleader.
80159586,Movie,The Most Assassinated Woman in the World,Franck Ribière,"Anna Mouglalis, Niels Schneider, André Wilms, Michel Fau, Sissi Duparc, Jean-Michel Balthazar, Julie Recoing, Eric Godon, Maya Coline, Constance Dollé","Belgium, United Kingdom, United States",7-Sep-18,2018,TV-MA,102 min,"Dramas, International Movies, Thrillers","In 1930s Paris, an actress famous for her gory death scenes at the Grand Guignol Theater contends with a mysterious stalker and ghosts from her past."
80058026,Movie,Hell and Back,"Tom Gianas, Ross R. Shuman","Nick Swardson, Mila Kunis, Bob Odenkirk, T.J. Miller, Rob Riggle, Susan Sarandon, Danny McBride, Jennifer Coolidge, John Farley, Maria Bamford",United States,6-Sep-18,2015,R,86 min,"Action & Adventure, Comedies, Independent Movies","When best friends break a blood oath, one of them is cast away to hell, and the other two must save him from the misfits of the underworld."
80159880,Movie,ATM,Mez Tharatorn,"Chantavit Dhanasevi, Preechaya Pongthananikorn, Chaleumpol Tikumpornteerawong, Thawat Pornrattanaprasert, Sananthachat Thanapatpisal, Pongkool Suebsung, Puttachat Pongsuchat, Gornpop Janjaroen, Yanee Tramoth, Pongsatorn Jongwilak","United States, Canada",5-Sep-18,2012,TV-14,122 min,"Comedies, International Movies, Romantic Movies","When a broken ATM dishes out a fortune, a couple who works at the bank vies to see who can recover the most cash – and the loser must find a new job."
80147760,Movie,Carrie Pilby,Susan Johnson,"Bel Powley, Nathan Lane, Vanessa Bayer, Gabriel Byrne, Jason Ritter, Colin O'Donoghue, William Moseley, Desmin Borges",United States,5-Sep-17,2016,TV-14,98 min,"Comedies, Dramas","A socially awkward 19-year-old genius makes big plans to step out of her shell and make a friend, get a job and – maybe – even go on a date."
80177405,Movie,Marc Maron: Too Real,Lynn Shelton,Marc Maron,United States,5-Sep-17,2017,TV-MA,70 min,Stand-Up Comedy,"Battle-scarred stand-up comedian Marc Maron unleashes a storm of ideas about meditation, mortality, documentary films and our weird modern world."
81078908,Movie,The World We Make,Brian Baugh,"Caleb Castille, Rose Reid, Kevin Sizemore, Gregory Alan Williams",United States,4-Sep-19,2019,PG,108 min,"Dramas, Romantic Movies","A teenage equestrian and a local football player for each other, but simmering racism in their small town puts their relationship to the test."
80201906,Movie,Black Panther,Ryan Coogler,"Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee, Stan Lee",United States,4-Sep-18,2018,PG-13,135 min,"Action & Adventure, Sci-Fi & Fantasy","T'Challa, the superpowered new leader of the hidden, highly advanced African nation of Wakanda, strives to protect his home from enemies old and new."
